City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
222,Salalah,OM,17.0151,54.0924,77.0,61,0,3.44,clear sky,2021-02-15 16:11:28
223,Nesna,NO,66.1967,13.0213,24.8,63,0,5.75,clear sky,2021-02-15 16:11:29
224,Okhotsk,RU,59.3833,143.3,2.23,85,100,4.25,overcast clouds,2021-02-15 16:11:29
225,Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,1.14,light snow,2021-02-15 16:11:29
226,Soligalich,RU,59.0778,42.2864,-5.64,91,92,5.73,overcast clouds,2021-02-15 16:11:29
227,Haines Junction,CA,60.7522,-137.5108,-38.2,60,57,1.14,broken clouds,2021-02-15 16:11:30
228,Iberia,US,29.9502,-91.7507,26.6,86,90,17.27,overcast clouds,2021-02-15 16:11:30
229,Floro,NO,61.5996,5.0328,39.2,65,75,12.66,broken clouds,2021-02-15 16:11:30
230,Biak,ID,-0.9131,122.8766,78.06,74,100,3.85,overcast clouds,2021-02-15 16:11:31
231,Abu Dhabi,AE,24.4667,54.3667,71.6,73,0,6.91,clear sky,2021-02-15 16:09:06
232,Shaunavon,CA,49.6501,-108.4181,-9.4,77,100,16.11,overcast clouds,2021-02-15 16:11:31
233,Buchanan,LR,5.8808,-10.0467,84.2,75,43,8.79,light rain,2021-02-15 16:11:32
234,Biltine,TD,14.5333,20.9167,92.28,10,0,9.19,clear sky,2021-02-15 16:11:32
235,Jijiga,ET,9.35,42.8,68.07,30,90,15.95,overcast clouds,2021-02-15 16:11:32
236,Nikki,BJ,9.9401,3.2108,100.78,11,5,8.79,clear sky,2021-02-15 16:11:33
237,Qui Nhon,VN,13.7667,109.2333,67.05,82,2,4.68,clear sky,2021-02-15 16:09:19
238,Vila Velha,BR,-20.3297,-40.2925,89.6,58,0,13.8,clear sky,2021-02-15 16:11:33
239,Alofi,NU,-19.0595,-169.9187,71.6,100,40,2.3,light rain,2021-02-15 16:11:33
240,Hilton Head Island,US,32.2163,-80.7526,48.99,93,90,8.05,overcast clouds,2021-02-15 16:09:28
241,Northeim,DE,51.7,10.0,33.01,87,100,9.89,overcast clouds,2021-02-15 16:11:34
242,Milledgeville,US,33.0801,-83.2321,45.0,97,100,7.23,overcast clouds,2021-02-15 16:11:34
243,Umm Lajj,SA,25.0213,37.2685,76.96,58,0,5.7,clear sky,2021-02-15 16:11:35
244,Shimoda,JP,34.6667,138.95,46.0,72,16,5.01,few clouds,2021-02-15 16:11:35
245,Paamiut,GL,61.994,-49.6678,12.87,86,20,9.98,few clouds,2021-02-15 16:11:36
246,Ndjole,GA,-0.1783,10.7649,85.39,77,98,4.12,moderate rain,2021-02-15 16:11:36
247,Luderitz,NA,-26.6481,15.1594,72.97,50,0,33.2,clear sky,2021-02-15 16:11:36
248,Maningrida,AU,-12.0667,134.2667,79.84,89,95,10.29,light rain,2021-02-15 16:11:37
249,Diamantina,BR,-18.2494,-43.6003,75.15,71,81,6.87,broken clouds,2021-02-15 16:08:00
250,Aklavik,CA,68.2191,-135.0107,-5.8,84,75,2.3,broken clouds,2021-02-15 16:11:37
251,Corpus Christi,US,27.8006,-97.3964,21.2,73,90,25.32,overcast clouds,2021-02-15 16:07:23
252,Taos,US,36.4072,-105.5731,12.0,85,40,4.74,scattered clouds,2021-02-15 16:11:38
253,Nantucket,US,41.2835,-70.0995,37.99,100,90,11.5,mist,2021-02-15 16:11:38
254,Byron Bay,AU,-28.65,153.6167,71.6,83,75,5.75,broken clouds,2021-02-15 16:08:04
255,Alto Longa,BR,-5.2511,-42.2103,86.58,66,100,4.45,overcast clouds,2021-02-15 16:11:39
256,Manzanillo,CU,20.3433,-77.1167,86.29,48,0,2.62,clear sky,2021-02-15 16:11:39
257,Oksfjord,NO,70.2396,22.3479,32.0,80,75,9.22,light snow,2021-02-15 16:11:39
258,Sioux Lookout,CA,50.1001,-91.917,-23.8,76,20,6.91,few clouds,2021-02-15 16:11:40
259,Provideniya,RU,64.3833,-173.3,-0.96,81,58,15.57,broken clouds,2021-02-15 16:11:40
